clin values
-7.537537537537536414e-02 4.963893284816522034e+00
-7.477477477477476042e-02 4.982173439419325334e+00
-7.417417417417418446e-02 4.998960781555118693e+00
-7.357357357357358074e-02 5.014239788479240012e+00
-7.297297297297297702e-02 5.027996301580594185e+00
-7.237237237237237331e-02 5.040217548245809809e+00
-7.177177177177176959e-02 5.050892161621817422e+00
-7.117117117117116587e-02 5.060010198234074608e+00
-7.057057057057056215e-02 5.067563153422173450e+00
-6.996996996996995843e-02 5.073543974559316716e+00
-6.936936936936938247e-02 5.077947072026896436e+00
-6.876876876876877875e-02 5.080768327920250016e+00
-6.816816816816817504e-02 5.082005102466635726e+00
-6.756756756756757132e-02 5.082035858615849833e+00
-6.696696696696696760e-02 5.081888032032034097e+00
-6.636636636636636388e-02 5.081619047148498325e+00
-6.576576576576576016e-02 5.081228923204493597e+00
-6.516516516516515645e-02 5.080717688102592611e+00
-6.456456456456455273e-02 5.080085378405351015e+00
-6.396396396396397677e-02 5.079332039330957116e+00
-6.336336336336337305e-02 5.078457724747842406e+00
-6.276276276276276933e-02 5.077462497168256483e+00
-6.216216216216216561e-02 5.076346427740822342e+00
-6.156156156156156189e-02 5.075109596242060483e+00
-6.096096096096095818e-02 5.073752091066877412e+00
-6.036036036036035446e-02 5.072274009218046054e+00
-5.975975975975975074e-02 5.070675456294642558e+00
-5.915915915915914702e-02 5.068956546479487457e+00
-5.855855855855857106e-02 5.067117402525537884e+00
-5.795795795795796734e-02 5.065158155741285029e+00
-5.735735735735736363e-02 5.063078945975126643e+00
-5.675675675675675991e-02 5.060879921598732345e+00
-5.615615615615615619e-02 5.058561239489395511e+00
-5.555555555555555247e-02 5.056123065011383311e+00
-5.495495495495494875e-02 5.053565571996279537e+00
-5.435435435435434504e-02 5.050888942722326469e+00
-5.375375375375374132e-02 5.048093367892776406e+00
-5.315315315315316536e-02 5.045179046613251117e+00
-5.255255255255256164e-02 5.042146186368094973e+00
-5.195195195195195792e-02 5.038995002995767081e+00
