xlin values
-2.702702702702719506e-02 3.934765799707444223e-01
-2.102102102102110237e-02 3.956029862973590161e-01
-1.501501501501500968e-02 3.977125837936625885e-01
-9.009009009008916991e-03 3.998047097920362503e-01
-3.003003003002824300e-03 4.018787053292646183e-01
3.003003003002824300e-03 4.039339154011433175e-01
9.009009009008916991e-03 4.059696892157683146e-01
1.501501501501500968e-02 4.079853804453910660e-01
2.102102102102110237e-02 4.099803474767260703e-01
2.702702702702719506e-02 4.119539536595964169e-01
3.303303303303284366e-02 4.139055675538024226e-01
3.903903903903893635e-02 4.158345631740989479e-01
4.504504504504502904e-02 4.177403202331677057e-01
5.105105105105112173e-02 4.196222243824717646e-01
5.705705705705721442e-02 4.214796674508778374e-01
6.306306306306286302e-02 4.233120476809335564e-01
6.906906906906895571e-02 4.251187699626888250e-01
7.507507507507504840e-02 4.268992460649474463e-01
8.108108108108114109e-02 4.286528948638410608e-01
8.708708708708723378e-02 4.303791425686114280e-01
9.309309309309288238e-02 4.320774229444945824e-01
9.909909909909897507e-02 4.337471775325977275e-01
1.051051051051050678e-01 4.353878558666599008e-01
1.111111111111111605e-01 4.369989156865912716e-01
1.171171171171172531e-01 4.385798231486857657e-01
1.231231231231229017e-01 4.401300530324018245e-01
1.291291291291289944e-01 4.416490889436087697e-01
1.351351351351350871e-01 4.431364235141980745e-01
1.411411411411411798e-01 4.445915585979570150e-01
1.471471471471472725e-01 4.460140054626096084e-01
1.531531531531529211e-01 4.474032849779240317e-01
1.591591591591590138e-01 4.487589277997935389e-01
1.651651651651651065e-01 4.500804745501957305e-01
1.711711711711711992e-01 4.513674759929392488e-01
1.771771771771772919e-01 4.526194932051072484e-01
1.831831831831829405e-01 4.538360977441091570e-01
1.891891891891890332e-01 4.550168718102556853e-01
1.951951951951951258e-01 4.561614084047709849e-01
2.012012012012012185e-01 4.572693114831629657e-01
2.072072072072073112e-01 4.583401961038690020e-01
2.132132132132134039e-01 4.593736885721021457e-01
2.192192192192190525e-01 4.603694265788203510e-01
2.252252252252251452e-01 4.613270593347489346e-01
2.312312312312312379e-01 4.622462476993827174e-01
2.372372372372373306e-01 4.631266643049035681e-01
2.432432432432434233e-01 4.639679936749454559e-01
2.492492492492490719e-01 4.647699323381469516e-01
2.552552552552551646e-01 4.655321889364297250e-01
2.612612612612612573e-01 4.662544843279465279e-01
